# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	32011
#@/user_id	ad3c437b-04c4-483c-8723-c12dbf83d6b6
bīn bīn 	彬彬	c=1 d=6.8349e-24 t=32011
bīng lěng lěng 	冰冷冷	c=1 d=5.56519e-18 t=32011
bīng měi shì 	冰美式	c=1 d=2.12906e-08 t=32011
bō fàng 	播放	c=33 d=6.65231e-20 t=32011
bō kè 	播客	c=2 d=1.91033e-38 t=32011
bǎ 	把	c=255 d=1.55289 t=32011
bǎ zhè xiē 	把这些	c=1 d=2.1471e-19 t=32011
bǎi 	百	c=5 d=0.64124 t=32011
bǎi cóng 	百从	c=1 d=1 t=28080
bǎi dù 	百度	c=2 d=1.7142e-17 t=32011
bǎi liàn 	百炼	c=1 d=1 t=31221
bǎi lián 	百联	c=1 d=1.64956e-06 t=32011
bǎi píng 	摆平	c=1 d=2.02585e-41 t=32011
bǎn 	板	c=1 d=7.75312e-07 t=32011
bǎn běn 	版本	c=42 d=0.186403 t=32011
bǎn běn hào 	版本号	c=4 d=1.92148e-07 t=32011
bǎng 	绑	c=1 d=1.74337e-39 t=32011
bǎng dìng 	绑定	c=7 d=1.19246e-12 t=32011
bǎo chí 	保持	c=12 d=5.31579e-08 t=32011
bǎo cún 	保存	c=6 d=5.6096e-21 t=32011
bǎo dìng 	保定	c=1 d=1.18652e-12 t=32011
bǎo liú 	保留	c=13 d=0.0318071 t=32011
bǎo néng 	宝能	c=1 d=0.00130051 t=32011
bǎo zhàng 	保障	c=1 d=1 t=28494
bǎo zhèng 	保证	c=8 d=0.186426 t=32011
bǐ 	比	c=1 d=2.10745e-35 t=32011
bǐ bó 	比伯	c=1 d=1.06036e-13 t=32011
bǐ jiào 	比较	c=5 d=8.01674e-18 t=32011
bǐ jiào hǎo 	比较好	c=1 d=1 t=24895
bǐ jiào jí 	比较级	c=1 d=1 t=31732
bǐ jì 	笔记	c=7 d=4.54232 t=31903
bǐ rú 	比如	c=39 d=0.0676052 t=32011
bǐ tú 	比图	c=1 d=5.52784e-27 t=32011
bǐ wǒ 	比我	c=2 d=0.66034 t=32011
bǔ 	补	c=2 d=4.96839e-07 t=32011
bǔ chōng 	补充	c=4 d=3.59848e-06 t=32011
bǔ dīng 	补丁	c=1 d=8.95958e-32 t=32011
bǔ huí lái 	补回来	c=1 d=2.25365e-30 t=32011
bǔ huò 	捕获	c=3 d=1.15647e-32 t=32011
bǔ quán 	补全	c=9 d=0.162026 t=32011
bǔ qí 	补齐	c=1 d=1 t=29255
bǔ zhuō 	捕捉	c=1 d=1.47774e-06 t=32011
chuàn 	串	c=2 d=1.89995e-37 t=32011
chuàng jiàn 	创建	c=55 d=0.864677 t=32011
chuàng shǐ rén 	创始人	c=1 d=1.76917e-06 t=32011
chuàng xīn 	创新	c=3 d=3.02128e-08 t=32011
chuán 	传	c=1 d=2.66582e-06 t=32011
chuán 	船	c=1 d=1.36598e-22 t=32011
chuán guò lái 	传过来	c=1 d=1.18016e-37 t=32011
chuán rù 	传入	c=5 d=2.25828e-11 t=32011
chuán shū 	传输	c=1 d=1 t=29712
chuí zhí 	垂直	c=2 d=1.79852 t=24868
chuā 	欻	c=0 d=1.08009e-25 t=32011
chuān le 	穿了	c=1 d=2.47319e-06 t=32011
chuāng kǒu 	窗口	c=0 d=2.02309e-26 t=32011
chuī 	吹	c=1 d=3.64207e-30 t=32011
chuī jiě 	吹姐	c=1 d=1.523e-08 t=32011
chuō shāng 	戳伤	c=10 d=9.82353e-14 t=32011
chà bu duō 	差不多	c=1 d=1.16861e-39 t=32011
chá 	查	c=3 d=4.81402e-18 t=32011
chá 	茶	c=1 d=9.92412e-29 t=32011
chá cha 	查查	c=1 d=1 t=28850
chá dào 	查到	c=2 d=1 t=29561
chá kàn 	查看	c=9 d=7.89209e-10 t=32011
chá xún 	查询	c=3 d=0.579842 t=32011
chá yí xià 	查一下	c=5 d=0.0342191 t=32011
chá zhǎo 	查找	c=3 d=5.86168e-11 t=32011
cháng 	常	c=0 d=6.30941e-25 t=32011
cháng 	长	c=8 d=0.166232 t=32011
cháng cháng 	长长	c=1 d=1.45623e-10 t=32011
cháng guī 	常规	c=3 d=1.50887e-16 t=32011
cháng qī 	长期	c=1 d=5.81541e-06 t=32011
cháng shì 	尝试	c=1 d=3.20527e-27 t=32011
cháng wén běn 	长文本	c=2 d=1.81814e-06 t=32011
cháng xiū 	长休	c=1 d=6.69728e-20 t=32011
cháng yòng 	常用	c=5 d=4.35449e-08 t=32011
cháng zhōu 	常州	c=1 d=2.37041e-36 t=32011
chén 	陈	c=4 d=2.43e-34 t=32011
chén diàn 	沉淀	c=1 d=1 t=28533
chén huì 	陈慧	c=1 d=3.28698e-29 t=32011
chéng 	成	c=7 d=1.30073e-05 t=32011
chéng 	程	c=1 d=1 t=24355
chéng běn 	成本	c=4 d=0.000305061 t=32011
chéng guǒ 	成果	c=1 d=4.06764e-36 t=32011
chéng gōng 	成功	c=23 d=0.599865 t=32011
chéng shì 	城市	c=1 d=3.99062e-17 t=32011
chéng shòu zhě 	承受者	c=1 d=1 t=29932
chéng wéi 	成为	c=1 d=1.08384e-06 t=32011
chéng xù 	程序	c=3 d=0.0194482 t=32011
chéng xù yuán 	程序员	c=1 d=1 t=28480
chéng yuán 	成员	c=1 d=1.13388e-37 t=32011
chéng zhǎng 	成长	c=7 d=2.30933e-21 t=32011
chéng zài 	承载	c=1 d=2.26772e-15 t=32011
chí píng 	持平	c=1 d=1 t=29728
chí xù 	持续	c=2 d=5.54498e-34 t=32011
chóng 	重	c=1 d=5.43796e-40 t=32011
chóng fù 	重复	c=15 d=0.0713613 t=32011
chóng gòu 	重构	c=12 d=0.000365224 t=32011
chóng jiàn 	重建	c=1 d=7.28772e-14 t=32011
chóng qǐ 	重启	c=10 d=0.017953 t=32011
chóng shì 	重试	c=2 d=3.9387e-10 t=32011
chóng shì huà 	重试话	c=1 d=4.93252e-10 t=32011
chóng xiàn 	重现	c=3 d=3.46059e-45 t=32011
chóng xiě 	重写	c=1 d=1 t=24258
chóng xīn 	重新	c=14 d=2.5762e-08 t=32011
chóng zhōng 	重中	c=1 d=1.57752e-10 t=32011
chù fā 	触发	c=8 d=0.0854358 t=32011
chú 	除	c=7 d=3.41976e-21 t=32011
chú le 	除了	c=10 d=0.0413782 t=32011
chún 	纯	c=1 d=1.55081e-15 t=32011
chún jìng 	纯净	c=1 d=3.9871e-36 t=32011
chún wén běn 	纯文本	c=1 d=1.78756e-10 t=32011
chā jiàn 	插件	c=12 d=0.157789 t=32011
chā jiàn huà 	插件化	c=1 d=0.331211 t=32011
chā zhí 	差值	c=5 d=0.302704 t=32011
chāi 	拆	c=1 d=2.19951e-38 t=32011
chāi fēn 	拆分	c=5 d=0.000426457 t=32011
chāi jiě 	拆解	c=4 d=0.0413782 t=32011
chāo 	抄	c=1 d=1.1103e-25 t=32011
chāo 	超	c=1 d=0.267135 t=32011
chāo guò 	超过	c=2 d=5.71334e-23 t=32011
chē 	车	c=18 d=0.423469 t=32011
chē liàng 	车辆	c=3 d=4.89775e-15 t=32011
chē lián wǎng 	车联网	c=2 d=6.65813e-39 t=32011
chē shàng 	车上	c=1 d=7.34571e-19 t=32011
chē xíng 	车型	c=2 d=4.17749e-36 t=32011
chēng bào 	撑爆	c=2 d=3.53203e-22 t=32011
chēng hu 	称呼	c=1 d=7.1444e-45 t=32011
chēng kāi 	撑开	c=1 d=1.20277e-25 t=32011
chēng mǎn 	撑满	c=2 d=0.385121 t=32011
chēng wéi 	称为	c=1 d=6.89867e-45 t=32011
chī 	吃	c=13 d=4.52981e-08 t=32011
chī bù chī 	吃不吃	c=0 d=0.0279431 t=32011
chī bù chī bù 	吃不吃不	c=1 d=0.280832 t=32011
chī de 	吃的	c=2 d=2.5859e-28 t=32011
chī diǎn 	吃点	c=1 d=1.2778e-31 t=32011
chī fàn 	吃饭	c=5 d=0.770703 t=32011
chī fàn le 	吃饭了	c=2 d=1.35212e-27 t=32011
chī guò 	吃过	c=0 d=6.53749e-31 t=32011
chī guò ma 	吃过吗	c=1 d=6.57026e-30 t=32011
chī huī 	吃灰	c=1 d=0.680451 t=32011
chī jiǔ cài 	吃韭菜	c=1 d=7.23389e-15 t=32011
chī nǎ jiā 	吃哪家	c=1 d=6.94174e-30 t=32011
chī ròu 	吃肉	c=2 d=4.65471e-18 t=32011
chī shá 	吃啥	c=10 d=0.00344787 t=32011
chī shén me 	吃什么	c=1 d=6.90712e-30 t=32011
chī yào 	吃药	c=1 d=9.80334e-32 t=32011
chī zuǐ 	吃嘴	c=1 d=1 t=28351
chōng diǎn 	充点	c=1 d=0.299692 t=32011
chōng dāng 	充当	c=2 d=2.18737e-17 t=32011
chōng hǎo le 	充好了	c=1 d=0.386741 t=32011
chōng mǎn 	充满	c=1 d=1.05543e-17 t=32011
chōu dào 	抽到	c=1 d=7.28501e-39 t=32011
chōu lí 	抽离	c=16 d=0.00891518 t=32011
chōu xiàng 	抽象	c=1 d=1 t=25077
chū 	出	c=14 d=6.16027e-07 t=32011
chū bù 	初步	c=1 d=2.66202e-48 t=32011
chū bǎn 	初版	c=2 d=1.97045 t=24253
chū fā 	出发	c=1 d=7.84438e-27 t=32011
chū fāng àn 	出方案	c=0 d=0.0650509 t=32011
chū fēn 	出分	c=1 d=5.10996e-14 t=32011
chū guó 	出国	c=1 d=4.06003e-14 t=32011
chū guǐ 	出轨	c=1 d=4.87415e-17 t=32011
chū lái 	出来	c=20 d=0.0109985 t=32011
chū mén 	出门	c=2 d=2.00473e-06 t=32011
chū qù 	出去	c=5 d=0.00895987 t=32011
chū shēng 	出生	c=1 d=8.85987e-18 t=32011
chū shǐ 	初始	c=1 d=2.20258e-25 t=32011
chū shǐ huà 	初始化	c=11 d=8.1499e-05 t=32011
chū wèn tí 	出问题	c=2 d=0.0135009 t=32011
chū xiàn 	出现	c=3 d=7.9068e-32 t=32011
chū zhōng 	初中	c=1 d=1.74011e-17 t=32011
chū zài 	出在	c=1 d=4.27183e-24 t=32011
chǎn chū 	产出	c=3 d=1.89417 t=28557
chǎn pǐn 	产品	c=12 d=1.51523e-06 t=32011
chǎn shēng 	产生	c=1 d=0.597501 t=32011
chǎng 	厂	c=1 d=1.23792e-11 t=32011
chǎng jǐng 	场景	c=23 d=0.000637941 t=32011
chǔ lǐ 	处理	c=68 d=0.00955601 t=32011
chǔ yú 	处于	c=1 d=5.17099e-36 t=32011
cuò 	错	c=9 d=2.43837e-08 t=32011
cuò le 	错了	c=1 d=2.37129e-11 t=32011
cuò wù 	错误	c=35 d=0.035437 t=32011
cuī 	催	c=1 d=2.03538e-08 t=32011
cài dān lán 	菜单栏	c=2 d=9.26609e-16 t=32011
cài è 	蔡锷	c=1 d=2.10208e-05 t=32011
cái 	才	c=12 d=0.144424 t=32011
cái duì 	才对	c=1 d=1.07616e-40 t=32011
cái huì 	才会	c=4 d=1.85618 t=27902
cái liào 	材料	c=1 d=1.14015e-43 t=32011
cái néng 	才能	c=8 d=0.000223746 t=32011
cái xíng 	才行	c=5 d=4.63559e-16 t=32011
cè 	侧	c=4 d=1.1084 t=27472
cè lüè 	策略	c=1 d=1 t=27189
cè píng 	测评	c=1 d=5.3747e-20 t=32011
cè shì 	测试	c=80 d=1.74793 t=32011
cè shì zhōng 	测试中	c=1 d=1 t=24003
cè yàn 	测验	c=1 d=3.08231e-08 t=32011
céng 	层	c=4 d=3.36516e-11 t=32011
céng jí 	层级	c=1 d=1.34587e-24 t=32011
cì 	次	c=7 d=3.9116e-12 t=32011
cì shù 	次数	c=5 d=1.85546e-08 t=32011
cí 	词	c=8 d=1.82164 t=32011
cí huì 	词汇	c=3 d=0.10383 t=32011
cí huì liàng 	词汇量	c=1 d=1 t=25966
cí xìng 	词性	c=4 d=3.84992 t=31729
cóng 	从	c=60 d=0.492978 t=32011
cóng lǐ miàn 	从里面	c=1 d=6.2445e-20 t=32011
cóng shàng 	从上	c=1 d=5.08967e-26 t=32011
cóng wǒ 	从我	c=1 d=2.67864e-33 t=32011
cóng xiǎo 	从小	c=1 d=5.22757e-17 t=32011
cóng xīn 	从新	c=2 d=4.40103e-23 t=32011
cóng ér 	从而	c=7 d=7.8703e-07 t=32011
cún 	存	c=2 d=1.12355e-39 t=32011
